Linux 6.11.8-200.fc40.x86_64 (PAPATRAC) 	12/09/2024 	_x86_64_	(16 CPU)

11:08:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:10:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:55 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:10:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:10:58 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:10:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:00 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:01 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:11:02 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:05 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:06 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:11:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:10 AM     all      0.19      0.00      0.13      0.00      0.00     99.69
11:11:11 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:12 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:11:13 AM     all      0.06      0.00      0.19      0.00      0.00     99.75
11:11:14 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:17 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:18 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:19 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:11:20 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:23 AM     all      0.00      0.00      0.31      0.06      0.00     99.63
11:11:24 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:11:25 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:26 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:11:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:28 AM     all      0.00      0.00      0.00      0.75      0.00     99.25
11:11:29 AM     all      0.00      0.00      0.06      0.94      0.00     99.00
11:11:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:34 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:35 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:11:36 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:38 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:40 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:11:41 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:42 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:44 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:11:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:46 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:11:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:50 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:11:51 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:11:52 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:53 AM     all      0.00      0.00      0.00      0.19      0.00     99.81
11:11:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:55 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:11:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:11:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:00 AM     all      0.06      0.00      0.19      0.00      0.00     99.75
11:12:01 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:04 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:06 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:12:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:08 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:12:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:10 AM     all      0.75      0.00      0.38      0.00      0.00     98.88
11:12:11 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:12:12 AM     all      0.00      0.00      0.13      0.06      0.00     99.81
11:12:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:14 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:15 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:16 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:19 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:12:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:22 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:12:23 AM     all      0.00      0.00      0.12      0.06      0.00     99.81
11:12:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:25 AM     all      0.00      0.00      0.50      0.06      0.00     99.44
11:12:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:27 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:29 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:31 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:12:32 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:12:33 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:12:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:35 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
11:12:36 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:12:37 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:42 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:43 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:44 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:47 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:12:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:50 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:12:51 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:12:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:53 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:12:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:56 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:12:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:12:59 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:00 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:13:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:02 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:05 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:13:06 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:13:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:08 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:13:09 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:10 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
11:13:11 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:13:12 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:13 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:15 AM     all      0.00      0.00      0.31      0.00      0.00     99.69
11:13:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:17 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:13:18 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:19 AM     all      1.08      0.00      4.88      0.00      0.00     94.05
11:13:20 AM     all      1.20      0.00      2.47      0.00      0.00     96.33
11:13:21 AM     all      2.21      0.00      4.68      0.06      0.00     93.04
11:13:22 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:26 AM     all      2.13      0.00      2.70      0.44      0.00     94.73
11:13:27 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:13:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:29 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:13:30 AM     all      0.69      0.00      1.13      0.06      0.00     98.12
11:13:31 AM     all      0.13      0.00      1.00      0.06      0.00     98.81
11:13:32 AM     all      0.06      0.00      1.37      0.00      0.00     98.57
11:13:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:35 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:36 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:13:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:38 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:39 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:40 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
11:13:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:13:42 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:13:43 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:13:44 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
