11:28:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:31:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:23 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:26 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:31:27 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:29 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:35 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:31:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:40 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:41 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:42 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:43 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:31:44 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:45 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:46 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:47 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:31:48 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:50 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
